x_value,total_1,total_2
0,1000,1000
1,1005,1005
2,1010,1007
3,1008,1012
4,1009,1015
5,1010,1011
6,1014,1012
7,1013,1016
8,1011,1020
9,1017,1021
10,1019,1023
11,1014,1029
12,1015,1027
13,1014,1029
14,1017,1033
15,1013,1030
16,1008,1025
17,1006,1023
18,1010,1029
19,1017,1034
20,1024,1039
21,1028,1042
22,1031,1041
23,1025,1038
24,1023,1042
25,1027,1040
26,1031,1044
27,1034,1042
28,1039,1047
29,1044,1043
30,1046,1042
31,1054,1037
32,1054,1041
33,1059,1044
34,1055,1047
35,1058,1044
36,1060,1039
37,1064,1042
38,1072,1046
39,1075,1042
40,1081,1043
41,1082,1041
42,1081,1036
43,1077,1038
44,1077,1037
45,1075,1033
46,1080,1036
47,1087,1040
48,1084,1045
49,1084,1046
50,1089,1048
51,1086,1044
52,1087,1040
53,1092,1037
54,1093,1038
55,1090,1036
56,1096,1041
57,1093,1047
58,1089,1051
59,1097,1052
60,1105,1051
61,1102,1057
62,1104,1058
63,1103,1064
64,1100,1067
65,1106,1071
66,1111,1073
67,1111,1075
68,1114,1073
69,1122,1074
70,1119,1079
71,1120,1085
72,1122,1084
73,1117,1081
74,1117,1080
75,1118,1084
76,1125,1086
77,1129,1085
78,1129,1084
79,1126,1090
80,1129,1096
81,1124,1093
82,1118,1094
83,1122,1089
84,1126,1093
85,1127,1096
86,1128,1099
87,1127,1094
88,1129,1093
89,1124,1092
90,1127,1089
91,1135,1093
92,1143,1096
93,1149,1101
94,1146,1099
95,1153,1098
96,1152,1103
97,1156,1103
98,1160,1109
99,1164,1112
100,1166,1113
101,1173,1113
102,1171,1117
103,1166,1112
104,1171,1112
105,1174,1117
106,1181,1122
107,1184,1127
108,1190,1129
109,1190,1134
110,1187,1134
111,1183,1138
112,1178,1136
113,1173,1137
114,1173,1142
115,1169,1137
116,1175,1132
117,1181,1137
118,1177,1141
119,1176,1146
120,1180,1142
121,1186,1139
122,1188,1139
123,1190,1143
124,1196,1141
125,1204,1141
126,1212,1141
127,1215,1141
128,1216,1137
129,1217,1132
130,1218,1136
131,1216,1135
132,1218,1130
133,1221,1126
134,1228,1122
135,1228,1122
136,1230,1121
137,1238,1116
138,1234,1122
139,1234,1127
140,1233,1125
141,1241,1122
142,1235,1128
143,1232,1134
144,1232,1137
145,1230,1141
146,1224,1146
147,1225,1150
148,1219,1146
149,1221,1150
150,1225,1147
151,1232,1142
152,1233,1146
153,1227,1150
154,1234,1153
155,1241,1149
156,1241,1153
157,1243,1150
158,1246,1156
159,1244,1152
160,1241,1149
161,1246,1148
162,1247,1146
163,1252,1142
164,1257,1143
165,1262,1147
166,1269,1150
167,1274,1156
168,1276,1159
169,1274,1157
170,1272,1156
171,1274,1155
172,1282,1154
173,1287,1157
174,1295,1153
175,1289,1149
176,1284,1149
177,1290,1148
178,1296,1152
179,1303,1157
180,1305,1158
181,1305,1163
182,1311,1162
183,1311,1158
184,1308,1164
185,1309,1169
186,1317,1167
187,1324,1171
188,1327,1171
